extract_date,specimen_date,number_tested,number_confirmed,number_hospitalized,number_deaths,specimen_date_dt,dt,boro,pct_tested_positive,cumsum_number_tested,cumsum_number_confirmed,cumsum_number_deaths,cumsum_number_hospitalized,cumsum_pct_tested_positive,7-day_rolling_avg_pct_tested_positive,7-day_rolling_avg_number_tested,7-day_rolling_avg_number_confirmed,7-day_rolling_avg_number_hospitalized,7-day_rolling_avg_number_deaths
2020-08-31T00:00:00.000,2020-03-29T00:00:00.000,4910,3574,1502,514,2020-03-29,2020-08-31,NYC,0.7279022403258656,96269,55652,5679,17408,0.5780884812348731,0.683390117353642,6415.285714285715,4384.142857142857,1538.5714285714287,539.2857142857143
2020-08-31T00:00:00.000,2020-03-30T00:00:00.000,8568,6123,2011,771,2020-03-30,2020-08-31,NYC,0.7146358543417367,104837,61775,6450,19419,0.5892480708146933,0.6925747025489827,6831.857142857143,4731.571428571428,1648.142857142857,594.0
2020-08-31T00:00:00.000,2020-03-31T00:00:00.000,7958,5522,1913,785,2020-03-31,2020-08-31,NYC,0.6938929379241016,112795,67297,7235,21332,0.5966310563411499,0.700162641796883,6939.0,4858.428571428572,1712.0,631.5714285714286
2020-08-31T00:00:00.000,2020-04-01T00:00:00.000,8474,5509,1744,746,2020-04-01,2020-08-31,NYC,0.6501062072220911,121269,72806,7981,23076,0.6003677774204454,0.6986972001942062,7061.714285714285,4934.0,1734.5714285714287,661.8571428571429
2020-08-31T00:00:00.000,2020-04-02T00:00:00.000,9402,5813,1902,718,2020-04-02,2020-08-31,NYC,0.6182727079344821,130671,78619,8699,24978,0.6016560675283728,0.6837691456525538,7359.0,5031.857142857143,1755.4285714285713,675.1428571428571
2020-08-31T00:00:00.000,2020-04-03T00:00:00.000,9573,5735,1883,742,2020-04-03,2020-08-31,NYC,0.5990807479369059,140244,84354,9441,26861,0.6014802772311115,0.667244690570752,7661.571428571428,5112.142857142857,1773.0,690.5714285714286
2020-08-31T00:00:00.000,2020-04-04T00:00:00.000,6264,3856,1441,550,2020-04-04,2020-08-31,NYC,0.6155810983397191,146508,88210,9991,28302,0.6020831626941874,0.6551705379970625,7878.428571428572,5161.714285714285,1770.857142857143,689.4285714285714
2020-08-31T00:00:00.000,2020-04-05T00:00:00.000,6351,3796,1420,543,2020-04-05,2020-08-31,NYC,0.5977011494252874,152859,92006,10534,29722,0.60190109839787,0.6424103198444955,8084.285714285715,5193.428571428572,1759.142857142857,693.5714285714286
2020-08-31T00:00:00.000,2020-04-06T00:00:00.000,10957,6393,1981,797,2020-04-06,2020-08-31,NYC,0.5834626266313772,163816,98399,11331,31703,0.600667822434927,0.6209667847878059,8425.57142857143,5232.0,1754.857142857143,697.2857142857143
2020-08-31T00:00:00.000,2020-04-07T00:00:00.000,10589,6016,1795,728,2020-04-07,2020-08-31,NYC,0.5681367456794787,174405,104415,12059,33498,0.5986926980304463,0.6024671319590975,8801.42857142857,5302.571428571428,1738.0,689.1428571428571
2020-08-31T00:00:00.000,2020-04-08T00:00:00.000,10204,5592,1745,713,2020-04-08,2020-08-31,NYC,0.5480203841630733,184609,110007,12772,35243,0.5958918579267533,0.5873223871171456,9048.57142857143,5314.428571428572,1738.142857142857,684.4285714285714
2020-08-31T00:00:00.000,2020-04-09T00:00:00.000,9249,5065,1502,585,2020-04-09,2020-08-31,NYC,0.5476267704616715,193858,115072,13357,36745,0.5935891219346119,0.5769066421890578,9026.714285714286,5207.571428571428,1681.0,665.4285714285714
2020-08-31T00:00:00.000,2020-04-10T00:00:00.000,7828,4469,1359,523,2020-04-10,2020-08-31,NYC,0.5708993357179356,201686,119541,13880,38104,0.5927084676179805,0.5726864359884118,8777.42857142857,5026.714285714285,1606.142857142857,634.1428571428571
2020-08-31T00:00:00.000,2020-04-11T00:00:00.000,6939,3683,1103,399,2020-04-11,2020-08-31,NYC,0.5307681222078109,208625,123224,14279,39207,0.5906482923906531,0.5636782201329749,8873.857142857143,5002.0,1557.857142857143,612.5714285714286
